id, title, language, genre, file_path
1490,1490.wav,bangla,Hiphop,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Hiphop/1490.wav
157,157.wav,bangla,Folk,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Folk/157.wav
1620,1620.wav,bangla,Adhunik,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Adhunik/1620.wav
685,685.wav,bangla,Hiphop,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Hiphop/685.wav
162,162.wav,bangla,Folk,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Folk/162.wav
262,262.wav,bangla,Hiphop,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Hiphop/262.wav
1569,1569.wav,bangla,Metal,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Metal/1569.wav
265,265.wav,bangla,Metal,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Metal/265.wav
1588,1588.wav,bangla,Rock,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Rock/1588.wav
36,36.wav,bangla,Metal,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Metal/36.wav
2075,2075.wav,bangla,Adhunik,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Adhunik/2075.wav
464,464.wav,bangla,Folk,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Folk/464.wav
438,438.wav,bangla,Folk,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Folk/438.wav
560,560.wav,bangla,Metal,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Metal/560.wav
2067,2067.wav,bangla,Folk,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Folk/2067.wav
639,639.wav,bangla,Rock,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Rock/639.wav
1748,1748.wav,bangla,Metal,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Metal/1748.wav
1902,1902.wav,bangla,Islamic,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Islamic/1902.wav
552,552.wav,bangla,Rock,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Rock/552.wav
1312,1312.wav,bangla,Metal,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Metal/1312.wav
1440,1440.wav,bangla,Hiphop,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Hiphop/1440.wav
197,197.wav,bangla,Folk,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Folk/197.wav
924,924.wav,bangla,Folk,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Folk/924.wav
1319,1319.wav,bangla,Adhunik,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Adhunik/1319.wav
1352,1352.wav,bangla,Hiphop,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Hiphop/1352.wav
327,327.wav,bangla,Folk,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Folk/327.wav
972,972.wav,bangla,Hiphop,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Hiphop/972.wav
2097,2097.wav,bangla,Folk,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Folk/2097.wav
1514,1514.wav,bangla,Islamic,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Islamic/1514.wav
301,301.wav,bangla,Rock,/root/.cache/kagglehub/datasets/thisisjibon/banglabeats3sec/versions/1/wavs3sec/Rock/301.wav
